"","project","study","no","chip","well","plate","sampleID","tag_tube","type","subtype","controltype","collector","host_order","host_family","host_subfamily","host_tribe","host_genus","host_species","sex","location","sublocation","country","weight","date","year","month","day","month_day","datum","kw","BOLD_ID","note","plot_ID","elevation","temp_week","lattitude","longitude","state.province","region","sector","habitat","sample_day","CFU_Caput","CFU_Thorax","CFU_Abdomen","logCFU","tissue","CFUamount","storage","description","tag","genus_tag","group","treatment","PCR","Accession","Tax.ID","BioProject"
"AW.B1.G045_S46","16S_AW_Butterfly_join12","Other",46,"B1","D10",1,"G045","8","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Malmsbach","Germany","13","03.09.2021",2021,9,3,903,"03.09.2021",36,"","",NA,311,14.56,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G045","G045","Pr","Pierinae","sample","med","SAMN55876269",1202446,"PRJNA1426605"
"AW.B1.G046_S47","16S_AW_Butterfly_join12","Other",47,"B1","D11",1,"G046","8","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","male","Nuremberg","Malmsbach","Germany","10","03.09.2021",2021,9,3,903,"03.09.2021",36,"","",NA,311,14.56,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G046","G046","Pr","Pierinae","sample","low","SAMN55876270",1202446,"PRJNA1426605"
"AW.B1.G047_S48","16S_AW_Butterfly_join12","Other",48,"B1","D12",1,"G047","8","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Malmsbach","Germany","30","03.09.2021",2021,9,3,903,"03.09.2021",36,"","",NA,311,14.56,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G047","G047","Pr","Pierinae","sample","med","SAMN55876271",1202446,"PRJNA1426605"
"AW.B1.G048_S49","16S_AW_Butterfly_join12","Other",49,"B1","E1",1,"G048","8","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","male","Nuremberg","Malmsbach","Germany","20","03.09.2021",2021,9,3,903,"03.09.2021",36,"","",NA,311,14.56,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G048","G048","Pr","Pierinae","sample","low","SAMN55876272",1202446,"PRJNA1426605"
"AW.B1.G050_S51","16S_AW_Butterfly_join12","Other",51,"B1","E3",1,"G050","9","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Malmsbach","Germany","27","07.09.2021",2021,9,7,907,"07.09.2021",37,"","",NA,311,16.33,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G050","G050","Pr","Pierinae","sample","med","SAMN55876273",1202446,"PRJNA1426605"
"AW.B1.G051_S52","16S_AW_Butterfly_join12","Other",52,"B1","E4",1,"G051","9","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","8","07.09.2021",2021,9,7,907,"07.09.2021",37,"","",NA,311,16.33,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G051","G051","Pn","Pierinae","sample","med","SAMN55876274",1202446,"PRJNA1426605"
"AW.B1.G052_S53","16S_AW_Butterfly_join12","Other",53,"B1","E5",1,"G052","9","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","10","07.09.2021",2021,9,7,907,"07.09.2021",37,"","",NA,311,16.33,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G052","G052","Pn","Pierinae","sample","high","SAMN55876275",1202446,"PRJNA1426605"
"AW.B1.G053_S54","16S_AW_Butterfly_join12","Other",54,"B1","E6",1,"G053","9","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","30","07.09.2021",2021,9,7,907,"07.09.2021",37,"","",NA,311,16.33,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G053","G053","Pn","Pierinae","sample","med","SAMN55876276",1202446,"PRJNA1426605"
"AW.B1.G054_S55","16S_AW_Butterfly_join12","Other",55,"B1","E7",1,"G054","10","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","6","23.09.2021",2021,9,23,923,"23.09.2021",39,"","",NA,311,12.31,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G054","G054","Pn","Pierinae","sample","med","SAMN55876277",1202446,"PRJNA1426605"
"AW.B1.G055_S57","16S_AW_Butterfly_join12","Other",57,"B1","E9",1,"G055","11","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","female","Hersbrucker Alb","Henfenfeld","Germany","6","25.09.2021",2021,9,25,925,"25.09.2021",39,"","",NA,329,12.79,49.50689,11.38637,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G055","G055","Pn","Pierinae","sample","med","SAMN55876278",1202446,"PRJNA1426605"
"AW.B1.G056_S58","16S_AW_Butterfly_join12","Other",58,"B1","E10",1,"G056","11","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","male","Hersbrucker Alb","Henfenfeld","Germany","7","25.09.2021",2021,9,25,925,"25.09.2021",39,"","",NA,329,12.79,49.50689,11.38637,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G056","G056","Pr","Pierinae","sample","med","SAMN55876279",1202446,"PRJNA1426605"
"AW.B1.G057_S59","16S_AW_Butterfly_join12","Other",59,"B1","E11",1,"G057","11","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Hersbrucker Alb","Henfenfeld","Germany","10","25.09.2021",2021,9,25,925,"25.09.2021",39,"","",NA,329,12.79,49.50689,11.38637,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G057","G057","Pr","Pierinae","sample","med","SAMN55876280",1202446,"PRJNA1426605"
"AW.B1.G060_S60","16S_AW_Butterfly_join12","Other",60,"B1","E12",1,"G060","12","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","5","27.09.2021",2021,9,27,927,"27.09.2021",40,"","",NA,311,14.54,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G060","G060","Pn","Pierinae","sample","med","SAMN55876281",1202446,"PRJNA1426605"
"AW.B1.G061_S61","16S_AW_Butterfly_join12","Other",61,"B1","F1",1,"G061","12","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","male","Nuremberg","Malmsbach","Germany","5","27.09.2021",2021,9,27,927,"27.09.2021",40,"","",NA,311,14.54,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G061","G061","Pr","Pierinae","sample","med","SAMN55876282",1202446,"PRJNA1426605"
"AW.B1.G062_S62","16S_AW_Butterfly_join12","Other",62,"B1","F2",1,"G062","12","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","5","27.09.2021",2021,9,27,927,"27.09.2021",40,"","",NA,311,14.54,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G062","G062","Pn","Pierinae","sample","med","SAMN55876283",1202446,"PRJNA1426605"
"AW.B1.G063_S63","16S_AW_Butterfly_join12","Other",63,"B1","F3",1,"G063","12","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","male","Nuremberg","Malmsbach","Germany","7","27.09.2021",2021,9,27,927,"27.09.2021",40,"","",NA,311,14.54,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G063","G063","Pr","Pierinae","sample","med","SAMN55876284",1202446,"PRJNA1426605"
"AW.B1.G064_S64","16S_AW_Butterfly_join12","Other",64,"B1","F4",1,"G064","13","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Nymphalinae","Nymphalini","Aglais","Aglais urticae","unknown","Munich","LMU","Germany","56","15.03.2022",2022,3,15,315,"15.03.2022",12,"","cellar",NA,546,4.46,48.10916,11.46039,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G064","G064","Au","Nymphalinae","sample","low","SAMN55876285",1202446,"PRJNA1426605"
"AW.B1.G065_S65","16S_AW_Butterfly_join12","Other",65,"B1","F5",1,"G065","14","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Nymphalinae","Nymphalini","Aglais","Aglais io","unknown","Nuremberg","Malmsbach","Germany","78","23.03.2022",2022,3,23,323,"23.03.2022",13,"","",NA,311,6.74,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G065","G065","Ai","Nymphalinae","sample","low","SAMN55876286",1202446,"PRJNA1426605"
"AW.B1.G066_S66","16S_AW_Butterfly_join12","Other",66,"B1","F6",1,"G066","14","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Nymphalinae","Nymphalini","Aglais","Aglais io","unknown","Nuremberg","Malmsbach","Germany","73","23.03.2022",2022,3,23,323,"23.03.2022",13,"","",NA,311,6.74,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G066","G066","Ai","Nymphalinae","sample","low","SAMN55876287",1202446,"PRJNA1426605"
"AW.B1.G067_S67","16S_AW_Butterfly_join12","Other",67,"B1","F7",1,"G067","14","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Nymphalinae","Nymphalini","Aglais","Aglais io","unknown","Nuremberg","Malmsbach","Germany","52","23.03.2022",2022,3,23,323,"23.03.2022",13,"","",NA,311,6.74,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G067","G067","Ai","Nymphalinae","sample","med","SAMN55876288",1202446,"PRJNA1426605"
"AW.B1.G068_S68","16S_AW_Butterfly_join12","Other",68,"B1","F8",1,"G068","14","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Nymphalinae","Nymphalini","Aglais","Aglais io","unknown","Nuremberg","Malmsbach","Germany","82","23.03.2022",2022,3,23,323,"23.03.2022",13,"","",NA,311,6.74,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G068","G068","Ai","Nymphalinae","sample","low","SAMN55876289",1202446,"PRJNA1426605"
"AW.B1.G069_S69","16S_AW_Butterfly_join12","Other",69,"B1","F9",1,"G069","14","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Nymphalinae","Nymphalini","Aglais","Aglais io","unknown","Nuremberg","Malmsbach","Germany","66","23.03.2022",2022,3,23,323,"23.03.2022",13,"","",NA,311,6.74,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G069","G069","Ai","Nymphalinae","sample","low","SAMN55876290",1202446,"PRJNA1426605"
"AW.B1.G070_S70","16S_AW_Butterfly_join12","Other",70,"B1","F10",1,"G070","15","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Nymphalinae","Nymphalini","Aglais","Aglais io","unknown","Nuremberg","Malmsbach","Germany","58","25.03.2022",2022,3,25,325,"25.03.2022",13,"","",NA,311,6.89,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G070","G070","Ai","Nymphalinae","sample","low","SAMN55876291",1202446,"PRJNA1426605"
"AW.B1.G071_S71","16S_AW_Butterfly_join12","Other",71,"B1","F11",1,"G071","15","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Nymphalinae","Nymphalini","Aglais","Aglais io","unknown","Nuremberg","Malmsbach","Germany","43","25.03.2022",2022,3,25,325,"25.03.2022",13,"","",NA,311,6.89,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G071","G071","Ai","Nymphalinae","sample","low","SAMN55876292",1202446,"PRJNA1426605"
"AW.B1.G072_S72","16S_AW_Butterfly_join12","Other",72,"B1","F12",1,"G072","15","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Nymphalinae","Nymphalini","Polygonia","Polygonia c-album","unknown","Nuremberg","Malmsbach","Germany","52","25.03.2022",2022,3,25,325,"25.03.2022",13,"","C-Falter",NA,311,6.89,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G072","G072","Pc","Nymphalinae","sample","med","SAMN55876293",1202446,"PRJNA1426605"
"AW.B1.G073_S73","16S_AW_Butterfly_join12","Other",73,"B1","G1",1,"G073","16","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Nymphalinae","Nymphalini","Aglais","Aglais io","unknown","Nuremberg","Malmsbach","Germany","79","26.03.2022",2022,3,26,326,"26.03.2022",13,"","",NA,311,7.46,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G073","G073","Ai","Nymphalinae","sample","low","SAMN55876294",1202446,"PRJNA1426605"
"AW.B1.G074_S74","16S_AW_Butterfly_join12","Other",74,"B1","G2",1,"G074","16","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Nymphalinae","Nymphalini","Aglais","Aglais io","unknown","Nuremberg","Malmsbach","Germany","59","26.03.2022",2022,3,26,326,"26.03.2022",13,"","",NA,311,7.46,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G074","G074","Ai","Nymphalinae","sample","low","SAMN55876295",1202446,"PRJNA1426605"
"AW.B1.G075_S75","16S_AW_Butterfly_join12","Other",75,"B1","G3",1,"G075","16","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Nymphalinae","Nymphalini","Aglais","Aglais io","unknown","Nuremberg","Malmsbach","Germany","59","26.03.2022",2022,3,26,326,"26.03.2022",13,"","",NA,311,7.46,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G075","G075","Ai","Nymphalinae","sample","low","SAMN55876296",1202446,"PRJNA1426605"
"AW.B1.G076_S76","16S_AW_Butterfly_join12","Other",76,"B1","G4",1,"G076","17","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Nymphalinae","Nymphalini","Aglais","Aglais io","unknown","Nuremberg","Malmsbach","Germany","53","13.04.2022",2022,4,13,413,"13.04.2022",16,"","",NA,311,7.7,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G076","G076","Ai","Nymphalinae","sample","low","SAMN55876297",1202446,"PRJNA1426605"
"AW.B1.G077_S77","16S_AW_Butterfly_join12","Other",77,"B1","G5",1,"G077","18","sample","Other","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Anthocharini","Anthocharis","Anthocharis cardamines","female","Nuremberg","Malmsbach","Germany","22","16.04.2022",2022,4,16,416,"16.04.2022",16,"","Aurorafalter",NA,311,9.79,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G077","G077","Ac","Pierinae","sample","med","SAMN55876298",1202446,"PRJNA1426605"
"AW.B1.G078_S78","16S_AW_Butterfly_join12","Other",78,"B1","G6",1,"G078","19","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Melanargiini","Melanargia","Melanargia galathea","unknown","Nuremberg","Laufamholz","Germany","60","02.07.2022",2022,7,2,702,"02.07.2022",27,"","Schachbrett",NA,320,21.14,49.46372,11.15081,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G078","G078","Mg","Satyrinae","sample","med","SAMN55876299",1202446,"PRJNA1426605"
"AW.B1.G079_S79","16S_AW_Butterfly_join12","Other",79,"B1","G7",1,"G079","19","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Melanargiini","Melanargia","Melanargia galathea","unknown","Nuremberg","Laufamholz","Germany","15","02.07.2022",2022,7,2,702,"02.07.2022",27,"","Schachbrett",NA,320,21.14,49.46372,11.15081,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G079","G079","Mg","Satyrinae","sample","high","SAMN55876300",1202446,"PRJNA1426605"
"AW.B1.G080_S80","16S_AW_Butterfly_join12","Other",80,"B1","G8",1,"G080","20","sample","Other","Pieridae","Arne","Lepidoptera","Pieridae","Coliadinae","Gonepterygini","Gonepteryx","Gonepteryx rhamni","female","Hersbrucker Alb","Happurg","Germany","105","25.07.2022",2022,7,25,725,"25.07.2022",31,"","Zitronenfalter",NA,347,24.77,49.4972,11.46821,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G080","G080","Gr","Coliadinae","sample","med","SAMN55876301",1202446,"PRJNA1426605"
"AW.B1.G081_S81","16S_AW_Butterfly_join12","Other",81,"B1","G9",1,"G081","20","sample","Other","Pieridae","Arne","Lepidoptera","Pieridae","Coliadinae","Gonepterygini","Gonepteryx","Gonepteryx rhamni","female","Hersbrucker Alb","Happurg","Germany","94","25.07.2022",2022,7,25,725,"25.07.2022",31,"","Zitronenfalter",NA,347,24.77,49.4972,11.46821,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G081","G081","Gr","Coliadinae","sample","med","SAMN55876302",1202446,"PRJNA1426605"
"AW.B1.G082_S85","16S_AW_Butterfly_join12","Other",85,"B1","H1",1,"G082","20","sample","Other","Pieridae","Arne","Lepidoptera","Pieridae","Coliadinae","Gonepterygini","Gonepteryx","Gonepteryx rhamni","female","Hersbrucker Alb","Happurg","Germany","71","25.07.2022",2022,7,25,725,"25.07.2022",31,"","Zitronenfalter",NA,347,24.77,49.4972,11.46821,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G082","G082","Gr","Coliadinae","sample","med","SAMN55876303",1202446,"PRJNA1426605"
"AW.B1.G083_S86","16S_AW_Butterfly_join12","Other",86,"B1","H2",1,"G083","5","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","female","Nuremberg","Malmsbach","Germany","23","08.08.2021",2021,8,8,808,"08.08.2021",33,"","Pegnitz Wiese",NA,311,16.71,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G083","G083","Pn","Pierinae","sample","med","SAMN55876304",1202446,"PRJNA1426605"
"AW.B1.H001_S97","16S_AW_Butterfly_join12","Peru",97,"B1","A1",3,"H001","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Danainae","Ithomiini","Tithorea","Tithorea harmonia","unknown","Paucartambo","Villa Carmen","Peru","","07.11.2022",2022,11,7,1107,"07.11.2022",46,"ANDIV1591-23","Heliconius",52,500,20.95768229,-12.887,-71.401,"Cusco","Paucartambo","Villa Carmen",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H001","H001","He","Danainae","sample","med","SAMN55876305",1202446,"PRJNA1426605"
"AW.B1.H002_S98","16S_AW_Butterfly_join12","Peru",98,"B1","A2",3,"H002","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius sara","unknown","Paucartambo","Villa Carmen","Peru","","08.11.2022",2022,11,8,1108,"08.11.2022",46,"ANDIV1592-23","Heliconius  ",52,500,21.15429688,-12.887,-71.401,"Cusco","Paucartambo","Villa Carmen",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H002","H002","He","Heliconiinae","sample","med","SAMN55876306",1202446,"PRJNA1426605"
"AW.B1.H003_S99","16S_AW_Butterfly_join12","Peru",99,"B1","A3",3,"H003","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius doris","unknown","Paucartambo","Villa Carmen","Peru","","08.11.2022",2022,11,8,1108,"08.11.2022",46,"ANDIV1593-23","Heliconius",52,500,21.15429688,-12.887,-71.401,"Cusco","Paucartambo","Villa Carmen",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H003","H003","He","Heliconiinae","sample","med","SAMN55876307",1202446,"PRJNA1426605"
"AW.B1.H004_S100","16S_AW_Butterfly_join12","Peru",100,"B1","A4",3,"H004","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Danainae","Ithomiini","Tithorea","Tithorea harmonia","unknown","Paucartambo","Villa Carmen","Peru","","08.11.2022",2022,11,8,1108,"08.11.2022",46,"ANDIV1594-23","Heliconius",52,500,21.15429688,-12.887,-71.401,"Cusco","Paucartambo","Villa Carmen",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H004","H004","He","Danainae","sample","med","SAMN55876308",1202446,"PRJNA1426605"
"AW.B1.H005_S101","16S_AW_Butterfly_join12","Peru",101,"B1","A5",3,"H005","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Danainae","Euploeini","Lycorea","Lycorea halia","unknown","Paucartambo","Villa Carmen","Peru","","08.11.2022",2022,11,8,1108,"08.11.2022",46,"ANDIV1595-23","Lycorea sp",52,500,21.15429688,-12.887,-71.401,"Cusco","Paucartambo","Villa Carmen",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H005","H005","He","Danainae","sample","med","SAMN55876309",1202446,"PRJNA1426605"
"AW.B1.H006_S102","16S_AW_Butterfly_join12","Peru",102,"B1","A6",3,"H006","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius erato","unknown","Paucartambo","Tono","Peru","","17.11.2022",2022,11,17,1117,"17.11.2022",47,"ANDIV1596-23","Heliconius",80,800,22.48242188,-12.947,-71.531,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H006","H006","He","Heliconiinae","sample","med","SAMN55876310",1202446,"PRJNA1426605"
"AW.B1.H007_S103","16S_AW_Butterfly_join12","Peru",103,"B1","A7",3,"H007","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius erato","unknown","Manu","Los Amigos","Peru","","24.11.2022",2022,11,24,1124,"24.11.2022",48,"ANDIV1597-23","Heliconius",25,275,25.87890625,-12.569,-70.1,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H007","H007","He","Heliconiinae","sample","med","SAMN55876311",1202446,"PRJNA1426605"
"AW.B1.H008_S104","16S_AW_Butterfly_join12","Peru",104,"B1","A8",3,"H008","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius erato","unknown","Manu","Los Amigos","Peru","","25.11.2022",2022,11,25,1125,"25.11.2022",48,"ANDIV1598-23","Heliconius",23,245,25.30478051,-12.551,-70.097,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H008","H008","He","Heliconiinae","sample","med","SAMN55876312",1202446,"PRJNA1426605"
"AW.B1.H009_S105","16S_AW_Butterfly_join12","Peru",105,"B1","A9",3,"H009","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius erato","unknown","Manu","Los Amigos","Peru","","25.11.2022",2022,11,25,1125,"25.11.2022",48,"ANDIV1599-23","Heliconius",29,290,25.76822917,-12.563,-70.097,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H009","H009","He","Heliconiinae","sample","med","SAMN55876313",1202446,"PRJNA1426605"
"AW.B1.H010_S106","16S_AW_Butterfly_join12","Peru",106,"B1","A10",3,"H010","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius erato","unknown","Manu","Los Amigos","Peru","","27.11.2022",2022,11,27,1127,"27.11.2022",49,"ANDIV1600-23","Heliconius",25,275,26.06597222,-12.569,-70.1,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H010","H010","He","Heliconiinae","sample","med","SAMN55876314",1202446,"PRJNA1426605"
"AW.B1.H011_S107","16S_AW_Butterfly_join12","Peru",107,"B1","A11",3,"H011","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius pardalinus","unknown","Manu","Los Amigos","Peru","","28.11.2022",2022,11,28,1128,"28.11.2022",49,"ANDIV1601-23","Heliconius astraea astraea Neruda aoede bartletti",23,245,25.30478051,-12.571,-70.093,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H011","H011","He","Heliconiinae","sample","med","SAMN55876315",1202446,"PRJNA1426605"
"AW.B1.H012_S108","16S_AW_Butterfly_join12","Peru",108,"B1","A12",3,"H012","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius numata","unknown","Manu","Los Amigos","Peru","","28.11.2022",2022,11,28,1128,"28.11.2022",49,"ANDIV1602-23","Heliconius",29,290,26.01171875,-12.563,-70.097,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H012","H012","He","Heliconiinae","sample","med","SAMN55876316",1202446,"PRJNA1426605"
"AW.B1.H013_S109","16S_AW_Butterfly_join12","Peru",109,"B1","B1",3,"H013","","sample","Peru","Nymphalidae","Andrea","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius erato","unknown","Manu","Los Amigos","Peru","","30.11.2022",2022,11,30,1130,"30.11.2022",49,"ANDIV1603-23","Heliconius",25,275,25.82638889,-12.569,-70.1,"Madre de Dios","Manu","Los Amigos",NA,NA,NA,NA,NA,NA,"abdomen","","DNA shield","AW_B1_H013","H013","He","Heliconiinae","sample","med","SAMN55876317",1202446,"PRJNA1426605"
